OTUID	Group
ASV_28	OE3
ASV_46	OE3
ASV_262	OE3
ASV_98	OE4
ASV_80	OE5
ASV_37	WT1
ASV_66	WT2
ASV_27	WT5
ASV_52	WT5
ASV_22	WT6
ASV_35	WT6
ASV_76	KO1
ASV_7	KO2
ASV_40	KO2
ASV_52	KO2
ASV_1155	KO3
ASV_695	KO3
ASV_46	KO4
ASV_66	KO5
ASV_79	KO5
ASV_95	KO5
ASV_51	OE1
ASV_100	OE1
ASV_27	OE4
ASV_22	OE5
ASV_40	OE5
ASV_44	WT2
ASV_67	WT2
ASV_102	WT2
ASV_24	WT3
ASV_113	WT4
ASV_56	WT4
ASV_22	WT5
ASV_55	WT5
ASV_29	WT6
ASV_54	WT6
ASV_43	WT6
ASV_24	KO1
ASV_37	KO3
ASV_118	KO5
ASV_39	KO6
ASV_17	OE2
ASV_37	OE3
ASV_38	OE3
ASV_47	OE3
ASV_54	OE3
ASV_37	OE4
ASV_55	OE4
ASV_58	OE4
ASV_20	OE5
ASV_61	OE5
ASV_68	OE6
ASV_51	OE6
ASV_81	WT3
ASV_86	WT3
ASV_53	WT4
ASV_41	WT5
ASV_90	WT5
ASV_38	WT6
ASV_31	KO1
ASV_40	KO1
ASV_54	KO1
ASV_62	KO2
ASV_535	KO2
ASV_260	KO3
ASV_27	KO4
ASV_58	KO6
ASV_50	OE1
ASV_41	OE3
ASV_50	OE3
ASV_41	OE4
ASV_390	OE5
ASV_44	OE6
ASV_73	WT2
ASV_48	WT3
ASV_70	WT4
ASV_80	WT5
ASV_70	WT6
ASV_72	KO1
ASV_72	KO5
ASV_101	KO5
ASV_180	KO5
ASV_221	KO5
ASV_47	OE1
ASV_56	OE1
ASV_111	OE3
ASV_26	OE4
ASV_46	OE4
ASV_60	OE4
ASV_249	OE4
ASV_63	OE5
ASV_55	OE6
ASV_22	WT1
ASV_39	WT1
ASV_62	WT2
ASV_111	WT2
ASV_113	WT3
ASV_52	WT4
ASV_60	WT4
ASV_62	WT5
ASV_173	KO1
ASV_61	KO2
ASV_153	KO2
ASV_55	KO3
ASV_74	KO3
ASV_601	KO4
ASV_113	OE1
ASV_52	OE1
ASV_74	OE1
ASV_103	OE2
ASV_61	OE3
ASV_39	OE4
ASV_36	OE5
ASV_47	WT1
ASV_52	WT1
ASV_48	WT1
ASV_105	WT2
ASV_216	WT2
ASV_22	WT3
ASV_93	WT3
ASV_20	WT4
ASV_80	WT4
ASV_288	WT4
ASV_54	WT5
ASV_67	WT6
ASV_48	KO1
ASV_50	KO1
ASV_180	KO1
ASV_221	KO1
ASV_247	KO2
ASV_77	KO3
ASV_39	KO4
ASV_114	KO4
ASV_21	KO5
ASV_48	KO6
ASV_62	KO6
ASV_22	OE1
ASV_89	OE1
ASV_63	OE2
ASV_184	OE2
ASV_45	OE3
ASV_105	OE3
ASV_61	OE4
ASV_855	OE4
ASV_58	OE5
ASV_20	OE6
ASV_100	OE6
ASV_84	WT2
ASV_86	WT2
ASV_61	WT3
ASV_186	WT4
ASV_558	WT4
ASV_67	WT5
ASV_76	WT6
ASV_51	KO1
ASV_73	KO1
ASV_45	KO2
ASV_48	KO2
ASV_49	KO2
ASV_528	KO2
ASV_62	KO3
ASV_69	KO3
ASV_734	KO3
ASV_24	KO4
ASV_92	KO4
ASV_37	KO6
ASV_180	KO6
ASV_33	OE2
ASV_204	OE2
ASV_62	OE3
ASV_53	OE4
ASV_56	OE5
ASV_76	OE6
ASV_430	WT2
ASV_46	WT3
ASV_60	WT3
ASV_88	WT3
ASV_91	WT4
ASV_78	WT5
ASV_410	WT5
ASV_84	WT6
ASV_675	WT6
ASV_39	KO1
ASV_59	KO2
ASV_91	KO2
ASV_110	KO2
ASV_35	KO3
ASV_90	KO4
ASV_109	KO5
ASV_283	KO5
ASV_273	KO5
ASV_46	KO6
ASV_50	KO6
ASV_347	KO6
ASV_47	OE2
ASV_48	OE2
ASV_456	OE3
ASV_218	OE3
ASV_56	OE4
ASV_76	OE5
ASV_74	OE5
ASV_303	OE5
ASV_33	OE6
ASV_48	OE6
ASV_77	OE6
ASV_60	WT1
ASV_86	WT1
ASV_245	WT1
ASV_68	WT4
ASV_63	WT5
ASV_69	WT5
ASV_59	WT6
ASV_103	WT6
ASV_79	KO1
ASV_31	KO2
ASV_33	KO2
ASV_58	KO2
ASV_66	KO2
ASV_69	KO2
ASV_90	KO2
ASV_114	KO2
ASV_82	KO3
ASV_192	KO5
ASV_51	KO6
ASV_75	KO6
ASV_58	OE1
ASV_76	OE1
ASV_35	OE2
ASV_51	OE2
ASV_47	OE4
ASV_50	OE4
ASV_47	OE6
ASV_70	WT1
ASV_55	WT1
ASV_56	WT1
ASV_89	WT2
ASV_41	WT3
ASV_73	WT3
ASV_123	WT3
ASV_144	WT3
ASV_149	WT3
ASV_59	WT5
ASV_44	WT6
ASV_56	WT6
ASV_89	WT6
ASV_123	WT6
ASV_333	WT6
ASV_44	KO1
ASV_70	KO2
ASV_100	KO2
ASV_53	KO3
ASV_456	KO3
ASV_109	KO3
ASV_79	KO4
ASV_736	KO4
ASV_69	KO5
ASV_74	KO5
ASV_189	KO5
ASV_431	KO5
ASV_52	KO6
ASV_173	OE1
ASV_69	OE1
ASV_156	OE1
ASV_173	OE2
ASV_81	OE2
ASV_96	OE2
ASV_88	OE4
ASV_45	OE5
ASV_35	OE6
ASV_41	OE6
ASV_52	OE6
ASV_43	OE6
ASV_288	OE6
ASV_50	WT1
ASV_62	WT1
ASV_112	WT1
ASV_535	WT1
ASV_62	WT3
ASV_26	WT4
ASV_61	WT4
ASV_46	WT6
ASV_58	WT6
ASV_88	KO1
ASV_113	KO2
ASV_74	KO2
