Gene	Transcription_factor
NM_145823	Esrrb
NM_023247	H3K27ac
NM_198422	Esrrb
NM_176933	Nanog
NM_001198566	Nanog
NM_024440	Esrrb
NM_028965	Nanog
NM_011898	H3K4me1
NM_001081342	Esrrb
NM_023844	H3K4me1
NM_009332	H3K27ac
NM_016682	Nanog
NM_013753	H3K27ac
NM_021889	Esrrb
NM_134115	H3K27ac
NM_183161	H3K4me1
NM_010303	H3K4me1
NM_011897	Med1
NM_001081636	Esrrb
NM_144529	Nanog
NM_001166584	Sox2
NM_001081636	Med1
NM_025286	Sox2
NM_026627	H3K4me1
NM_001110824	H3K27ac
NM_181444	Sox2
NM_009903	Med1
NM_001164077	Nanog
NR_003283	H3K4me1
NM_007657	Esrrb
NM_001013761	Nanog
NM_028451	Nanog
NM_133833	H3K27ac
NM_008393	Esrrb
NM_013833	Nanog
NM_008981	Nanog
NM_001166371	Nanog
NM_152915	Nanog
NM_133777	H3K4me1
NM_175654	H3K4me1
NM_011265	Esrrb
NM_054082	H3K27ac
NM_001083587	Nanog
NM_144531	Esrrb
NM_008452	H3K4me1
NM_025316	Sox2
NM_144841	Sox2
NM_198297	H3K27ac
NM_029761	Nanog
NM_026005	Nanog
NM_080448	Nanog
NM_133919	Esrrb
NM_145938	Nanog
NM_001113423	Sox2
NM_144530	H3K27ac
NM_008652	Nanog
NM_009902	Esrrb
NM_028716	Nanog
NM_001035533	H3K4me1
NM_175092	Nanog
NM_001033399	H3K4me1
NM_001081345	Nanog
NM_011551	Sox2
NM_026984	H3K4me1
NM_013462	Esrrb
NM_001083628	Nanog
NM_133197	H3K27ac
NM_008744	Esrrb
NM_001178039	Sox2
NM_010162	H3K4me1
NM_011535	H3K4me1
NM_146125	Nanog
NR_030152	Esrrb
NM_178671	Nanog
NM_001164155	Sox2
NM_172496	Nanog
NM_021878	H3K4me1
NM_008857	H3K27ac
NM_172862	Nanog
NM_201354	H3K27ac
NM_010288	Nanog
NM_001033306	H3K4me1
NM_009721	H3K4me1
NM_028419	H3K4me1
NM_008049	Med1
NR_035442	Nanog
NM_009263	H3K4me1
NM_001013814	H3K27ac
NM_020005	H3K4me1
NM_001161848	Esrrb
NM_183029	H3K4me1
NM_146477	H3K4me1
NM_027922	Nanog
NM_145823	Med1
NM_001039198	Med1
NM_172150	Med1
NM_001163640	Nanog
NM_008452	Med1
NM_134156	H3K4me1
NM_176930	Nanog
NM_011443	Klf4
NM_025974	H3K4me1
NM_010580	Nanog
NM_021273	Esrrb
NM_009769	Nanog
NM_009818	Nanog
NM_178114	Med1
NM_031185	H3K27ac
NM_011443	Sox2
NM_008989	Med1
NM_178384	Nanog
NR_003188	Med1
NM_146051	H3K4me1
NM_199476	Nanog
NM_012058	H3K4me1
NM_024279	H3K27ac
NM_173863	Nanog
NM_008162	Nanog
NM_009823	Sox2
NM_001109685	Esrrb
NM_009769	Sox2
NM_001039169	H3K4me1
